scaling,pca_components,k,metric,weights,mean_macro_f1,std_macro_f1,fold1_macro_f1,fold2_macro_f1,fold3_macro_f1,fold4_macro_f1,fold5_macro_f1
standard,30,7,cosine,distance,0.8161538470830522,0.007617179902509171,0.8085530075716865,0.8299929295193594,0.8106195596135107,0.8180310025885154,0.813572736122189
standard,100,7,euclidean,distance,0.8161069569421612,0.008001635947702024,0.8168439389287686,0.8257643793017472,0.8139619209768816,0.8216697574996517,0.8022947880037572
minmax,50,3,euclidean,distance,0.8159241879115215,0.009231663139820458,0.8127984507398812,0.8281437144349948,0.8137415262377315,0.8233861582592619,0.8015510898857384
minmax,50,7,euclidean,distance,0.8155064153483543,0.005186377037716634,0.8126488446695058,0.8242019749832877,0.8162665730961981,0.8159735374621473,0.8084411465306325
standard,50,7,euclidean,distance,0.8154682581726,0.0057897646166980895,0.8181060503704352,0.8195125193670805,0.8068958150725518,0.8222879448329377,0.8105389612199957
standard,50,3,cosine,distance,0.8151266517834443,0.009589906764640587,0.8218490127948238,0.8225018313877754,0.8028427817083132,0.8244107434231923,0.8040288896031171
standard,100,3,euclidean,distance,0.8151148225939308,0.009401278435430593,0.8206001207314447,0.8218741638349949,0.8151749183657406,0.8210131007767345,0.7969118092607387
minmax,100,3,manhattan,uniform,0.8151005055171391,0.011394881547042266,0.8059932675399925,0.8215659040310491,0.8308701468873345,0.818273705914699,0.7987995032126206
standard,50,5,euclidean,distance,0.8147954758505975,0.011556086675929111,0.8140275022284488,0.821164769412017,0.8042928476335287,0.8331244391165586,0.801367820862434
minmax,100,7,euclidean,uniform,0.8142617911745607,0.006178450068139359,0.815118123739745,0.815229990473836,0.8212320715760357,0.8170035845977566,0.8027251854854303
minmax,50,3,manhattan,uniform,0.8140957348115812,0.010536740790669175,0.8205503944687489,0.8232173329877657,0.8134133462698403,0.8192755381156853,0.7940220622158649
standard,100,3,cosine,uniform,0.8139491756923082,0.007528518266528532,0.823299434849552,0.8173841966840729,0.8155350699059165,0.8130240131846405,0.8005031638373591
standard,100,5,cosine,uniform,0.8138518103566537,0.00918390345083663,0.8119287413376457,0.8266033920868733,0.8193069169612667,0.8125321361715256,0.7988878652259563
standard,100,5,euclidean,distance,0.813740062349458,0.011146705574839925,0.8094083965334526,0.8265483949529164,0.8111814417073516,0.8251749674820911,0.7963871110714782
minmax,30,7,manhattan,distance,0.8134838566577383,0.00776683249145778,0.8179934092929428,0.8136613331478022,0.8140539790294667,0.8224118161042646,0.7992987457142154
minmax,30,5,cosine,uniform,0.8129084006038928,0.008830320944527074,0.8049954893866703,0.8210127424877545,0.8143563764727947,0.8234495480437787,0.8007278466284665
minmax,100,3,euclidean,uniform,0.8127506830392587,0.012108853433205046,0.8256620980426186,0.8243319831176302,0.8117463684372849,0.8098220764286104,0.7921908891701495
minmax,30,5,euclidean,distance,0.8126091257833172,0.007573983934896107,0.8140033011878561,0.8180608064949428,0.8002392021201896,0.8219624015879671,0.8087799175256304
minmax,50,5,euclidean,uniform,0.8126082299542899,0.005080192110368792,0.8068053950930791,0.8221037984108855,0.8111851802222831,0.810924642320437,0.8120221337247655
